gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,groove_angle,maxMises,maxPrincipal,minPrincipal,convergence
0.1500 ,LAP,0.0025 ,50,55,99268.8600 ,98809.0100 ,-12783.3700 ,TRUE
0.1500 ,LAP,0.0025 ,50,60,92731.0100 ,92879.8400 ,-11137.1200 ,TRUE
0.1500 ,LAP,0.0025 ,50,65,84285.6100 ,85519.5900 ,-7789.5800 ,TRUE
0.1500 ,LAP,0.0025 ,50,70,77114.6200 ,84135.5400 ,-6349.8200 ,TRUE
0.1500 ,LAP,0.0025 ,50,75,67537.1100 ,77404.0300 ,-5021.6200 ,FALSE
0.1500 ,LAP,0.0025 ,50,80,68675.4300 ,78902.0100 ,-4409.7400 ,TRUE
0.1500 ,LAP,0.0025 ,50,85,67672.0800 ,77378.1900 ,-4009.4100 ,TRUE
0.1500 ,LAP,0.0025 ,50,90,68050.8400 ,75142.7200 ,-3600.1800 ,TRUE
0.1500 ,LAP,0.0025 ,70,0,140614.5200 ,157191.9500 ,-21308.6500 ,TRUE
0.1500 ,LAP,0.0025 ,70,5,141553.6600 ,157319.2200 ,-17456.9900 ,TRUE
0.1500 ,LAP,0.0025 ,70,10,32316.7200 ,36468.9200 ,-5151.3200 ,FALSE
0.1500 ,LAP,0.0025 ,70,15,85300.0100 ,94117.9600 ,-11092.7600 ,FALSE
0.1500 ,LAP,0.0025 ,70,20,146352.8300 ,155760.5000 ,-21109.4100 ,TRUE
0.1500 ,LAP,0.0025 ,70,25,147664.2200 ,154458.0600 ,-17673.1500 ,TRUE
0.1500 ,LAP,0.0025 ,70,30,108440.8300 ,111086.5800 ,-16406.3500 ,FALSE
0.1500 ,LAP,0.0025 ,70,35,145700.8400 ,152787.9200 ,-20082.0000 ,TRUE
0.1500 ,LAP,0.0025 ,70,40,142504.4800 ,145532.6600 ,-13449.1400 ,TRUE
0.1500 ,LAP,0.0025 ,70,45,126603.2600 ,127199.7000 ,-15949.0800 ,FALSE
0.1500 ,LAP,0.0025 ,70,50,131440.1600 ,135866.9800 ,-17333.5400 ,TRUE
0.1500 ,LAP,0.0025 ,70,55,124397.3000 ,123821.0200 ,-16019.2900 ,TRUE
0.1500 ,LAP,0.0025 ,70,60,116204.4700 ,116390.9800 ,-13956.3200 ,TRUE
0.1500 ,LAP,0.0025 ,70,65,105621.2500 ,107167.6000 ,-9761.4000 ,TRUE
0.1500 ,LAP,0.0025 ,70,70,96635.0300 ,105433.2000 ,-7957.1800 ,TRUE
0.1500 ,LAP,0.0025 ,70,75,84633.1200 ,96997.7000 ,-6292.7700 ,FALSE
0.1500 ,LAP,0.0025 ,70,80,86059.5900 ,98874.8700 ,-5526.0000 ,TRUE
0.1500 ,LAP,0.0025 ,70,85,84802.2500 ,96965.3200 ,-5024.3300 ,TRUE
0.1500 ,LAP,0.0025 ,70,90,85276.8900 ,94163.9800 ,-4511.5100 ,TRUE
0.1500 ,LAP,0.0025 ,90,0,151990.8400 ,169909.4500 ,-23032.6200 ,TRUE
0.1500 ,LAP,0.0025 ,90,5,153005.9700 ,170047.0200 ,-18869.3300 ,TRUE
0.1500 ,LAP,0.0025 ,90,10,34931.2900 ,39419.4100 ,-5568.0800 ,FALSE
0.1500 ,LAP,0.0025 ,90,15,92201.1600 ,101732.5200 ,-11990.2100 ,FALSE
0.1500 ,LAP,0.0025 ,90,20,158193.4400 ,168362.1900 ,-22817.2500 ,TRUE
0.1500 ,LAP,0.0025 ,90,25,159610.8800 ,166954.3900 ,-19102.9800 ,TRUE
0.1500 ,LAP,0.0025 ,90,30,117214.1600 ,120073.9600 ,-17733.6900 ,FALSE
0.1500 ,LAP,0.0025 ,90,35,157488.6900 ,165149.1100 ,-21706.7200 ,TRUE
0.1500 ,LAP,0.0025 ,90,40,154033.7000 ,157306.8600 ,-14537.2400 ,TRUE
0.1500 ,LAP,0.0025 ,90,45,136846.0000 ,137490.7000 ,-17239.4200 ,FALSE
0.1500 ,LAP,0.0025 ,90,50,142074.2300 ,146859.2200 ,-18735.8900 ,TRUE
0.1500 ,LAP,0.0025 ,90,55,134461.5600 ,133838.6900 ,-17315.3200 ,TRUE
0.1500 ,LAP,0.0025 ,90,60,125605.9100 ,125807.5200 ,-15085.4500 ,TRUE
0.1500 ,LAP,0.0025 ,90,65,114166.4600 ,115837.9200 ,-10551.1400 ,TRUE
0.1500 ,LAP,0.0025 ,90,70,104453.2200 ,113963.2000 ,-8600.9500 ,TRUE
0.1500 ,LAP,0.0025 ,90,75,91480.3000 ,104845.2300 ,-6801.8800 ,FALSE
0.1500 ,LAP,0.0025 ,90,80,93022.1700 ,106874.2700 ,-5973.0800 ,TRUE
0.1500 ,LAP,0.0025 ,90,85,91663.1200 ,104810.2300 ,-5430.8200 ,TRUE
0.1500 ,LAP,0.0025 ,90,90,92176.1600 ,101782.2400 ,-4876.5100 ,TRUE
0.1750 ,LAP,0.0025 ,30,0,210252.8900 ,235040.1900 ,-31861.6200 ,TRUE
0.1750 ,LAP,0.0025 ,30,5,211657.1600 ,235230.4800 ,-26102.4400 ,TRUE
0.1750 ,LAP,0.0025 ,30,10,48321.3600 ,54529.9000 ,-7702.4700 ,FALSE
0.1750 ,LAP,0.0025 ,30,15,127544.2600 ,140729.2300 ,-16586.3800 ,FALSE
0.1750 ,LAP,0.0025 ,30,20,218833.0600 ,232899.8100 ,-31563.7000 ,TRUE
0.1750 ,LAP,0.0025 ,30,25,220793.9100 ,230952.3600 ,-26425.6600 ,TRUE
0.1750 ,LAP,0.0025 ,30,30,162145.4100 ,166101.4400 ,-24531.4800 ,FALSE
0.1750 ,LAP,0.0025 ,30,35,217858.2000 ,228455.0800 ,-30027.4700 ,TRUE
0.1750 ,LAP,0.0025 ,30,40,213078.8400 ,217606.6900 ,-20109.7400 ,TRUE
0.1750 ,LAP,0.0025 ,30,45,189302.6400 ,190194.4800 ,-23847.7500 ,FALSE
0.1750 ,LAP,0.0025 ,30,50,196535.0000 ,203154.1700 ,-25917.8500 ,TRUE
0.1750 ,LAP,0.0025 ,30,55,186004.2000 ,185142.5500 ,-23952.7400 ,TRUE
0.1750 ,LAP,0.0025 ,30,60,173753.9400 ,174032.8300 ,-20868.0900 ,TRUE
0.1750 ,LAP,0.0025 ,30,65,157929.4400 ,160241.6200 ,-14595.6600 ,TRUE
0.1750 ,LAP,0.0025 ,30,70,144492.8600 ,157648.2700 ,-11897.9200 ,TRUE
0.1750 ,LAP,0.0025 ,30,75,126547.0900 ,145035.1600 ,-9409.2300 ,FALSE
0.1750 ,LAP,0.0025 ,30,80,128680.0100 ,147841.9700 ,-8262.7200 ,TRUE
0.1750 ,LAP,0.0025 ,30,85,126800.0000 ,144986.7200 ,-7512.6000 ,TRUE
0.1750 ,LAP,0.0025 ,30,90,127509.7000 ,140798.0300 ,-6745.8100 ,TRUE
0.1750 ,LAP,0.0025 ,50,0,158658.3000 ,177362.9700 ,-24043.0000 ,TRUE
0.1750 ,LAP,0.0025 ,50,5,159717.9700 ,177506.5600 ,-19697.0900 ,TRUE
0.1750 ,LAP,0.0025 ,50,10,36463.6400 ,41148.6400 ,-5812.3400 ,FALSE
0.1750 ,LAP,0.0025 ,50,15,96245.7900 ,106195.2700 ,-12516.1900 ,FALSE
0.1750 ,LAP,0.0025 ,50,20,165132.9700 ,175747.8300 ,-23818.1900 ,TRUE
0.1750 ,LAP,0.0025 ,50,25,166612.6200 ,174278.2700 ,-19940.9900 ,TRUE
0.1750 ,LAP,0.0025 ,50,30,122356.0500 ,125341.3000 ,-18511.6200 ,FALSE
0.1750 ,LAP,0.0025 ,50,35,164397.3300 ,172393.8100 ,-22658.9400 ,TRUE
0.1750 ,LAP,0.0025 ,50,40,160790.7700 ,164207.5300 ,-15174.9500 ,TRUE
0.1750 ,LAP,0.0025 ,50,45,142849.1100 ,143522.0900 ,-17995.6800 ,FALSE
0.1750 ,LAP,0.0025 ,50,50,148306.6900 ,153301.5600 ,-19557.7900 ,TRUE
0.1750 ,LAP,0.0025 ,50,55,140360.0600 ,139709.8600 ,-18074.9000 ,TRUE
0.1750 ,LAP,0.0025 ,50,60,131115.9500 ,131326.3900 ,-15747.2100 ,TRUE
0.1750 ,LAP,0.0025 ,50,65,119174.6600 ,120919.4500 ,-11013.9900 ,TRUE
0.1750 ,LAP,0.0025 ,50,70,109035.3200 ,118962.4800 ,-8978.2500 ,TRUE
0.1750 ,LAP,0.0025 ,50,75,95493.3200 ,109444.5300 ,-7100.2700 ,FALSE
0.1750 ,LAP,0.0025 ,50,80,97102.8300 ,111562.5900 ,-6235.1100 ,TRUE
0.1750 ,LAP,0.0025 ,50,85,95684.1600 ,109408.0000 ,-5669.0600 ,TRUE
