gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Average_Tensile_Strength,STD_Tensile_Strength,Average_Young's_Modulus,STD_Young's_Modulus,Self-renewal(discrete),Ectoderm(discrete),Mesoderm(discrete),Endoderm(discrete),Self-renewal,Ectoderm,Mesoderm,Endoderm
0.15,LAP,0.0025,50,1500,27G,2,97.81658805,1.820776851,182.0776851,125.0122,1.9043,190.4321,100.5657,1.8832,188.3219,102.9648,1.8958,189.5774,105.08,1.9041,190.406,103.6305,1.9457,194.5736,105.845,9.7313,189.2314,4.0861,,NEGATIVE,POSITIVE,NEGATIVE,-1.92,0.07,1.63,-0.52
0.15,LAP,0.0025,70,1500,27G,2,128.781022,2.656346493,265.6346493,128.2437,2.2412,224.1223,132.4673,2.6364,263.6357,115.7355,2.364,236.3974,131.1904,2.2134,221.3419,130.2805,2.1166,211.6581,127.7831,6.1015,237.1317,22.7283,,NEGATIVE,POSITIVE,NEGATIVE,-1.87,-0.12,1.7,-0.22
0.15,LAP,0.0025,90,1500,27G,2,179.3886792,2.461430897,246.1430897,188.4731,2.8088,280.878,145.9123,2.4103,241.0342,153.8668,2.8738,287.3752,162.1906,2.3829,238.2914,155.0945,2.4418,244.1802,164.1543,16.4197,256.317,21.8044,,BORDERLINE,POSITIVE,POSITIVE,-1.71,0.69,4.05,0.68
0.175,LAP,0.0025,30,1500,27G,2,112.195583,1.95443801,195.443801,112.0917,1.8913,189.1347,125.2049,1.8547,185.4729,109.122,1.8766,187.6605,109.1191,1.9025,190.2544,131.3014,1.7791,177.9053,116.5058,9.3993,187.6453,5.8212,,BORDERLINE,POSITIVE,BORDERLINE,-1.86,0.75,3.43,0.32
0.175,LAP,0.0025,50,1500,27G,2,124.020185,2.25193381,225.193381,119.1753,2.1037,210.3719,131.1956,2.141,214.0988,127.0905,2.3015,230.1548,118.4517,2.4218,242.1795,114.0911,2.3761,237.6092,122.3374,6.2768,226.6013,12.6346,,NEGATIVE,POSITIVE,NEGATIVE,-1.97,-0.14,1.78,-0.23
0.175,LAP,0.0025,70,1500,27G,2,151.190438,2.85190024,285.190024,144.1095,3.0319,303.1908,162.338,2.7519,275.1918,156.7029,2.8804,288.0439,161.338,2.9035,290.3545,155.3088,2.9704,297.043,155.1646,6.7818,289.8357,9.6934,,NEGATIVE,POSITIVE,NEGATIVE,-2.06,-0.24,1.63,-0.6
0.175,LAP,0.0025,90,1500,27G,2,239.1044819,3.25441291,325.441291,249.0306,3.3189,331.8905,256.8414,3.2672,326.7158,257.091,3.2671,326.7056,282.0345,3.7019,370.1935,271.4439,3.3628,336.2756,259.2576,15.4179,336.2037,17.1463,,BORDERLINE,POSITIVE,BORDERLINE,-3.71,0.61,4.15,0.35
0.1,LAP,0.005,30,1500,27G,2,41.30345582,0.554109287,55.41092874,45.0919,0.6218,62.1788,39.5033,0.5934,59.3379,47.2488,0.6193,61.9281,45.272,0.6409,64.0902,47.2319,0.642,64.1955,44.2752,3.189,61.1903,3.3405,,POSITIVE,POSITIVE,POSITIVE,-2.22,1.37,4.13,0.88
0.1,LAP,0.005,50,1500,27G,2,55.04193219,0.801243194,80.12431944,58.0423,0.8502,85.0209,55.9028,0.7022,70.2198,61.1975,0.7902,79.0205,67.0209,0.7738,77.3829,65.0244,0.7533,75.3329,60.3716,4.906,77.8502,4.9546,,NEGATIVE,NEGATIVE,NEGATIVE,-0.82,-0.56,0.37,-0.3
0.1,LAP,0.005,70,1500,27G,2,132.014482,1.12009654,112.009654,129.5037,1.2349,123.491,153.095,1.1599,115.9938,124.0927,1.1401,114.0089,129.1096,1.2119,121.1933,135.011,0.9655,96.5548,133.8044,10.1158,113.8753,9.5289,,NEGATIVE,POSITIVE,NEGATIVE,-0.85,-0.32,0.96,-0.13
